"skill_id","skills","demand_count","avg_salary"
85,"watson","14","187417"
247,"slack","17","168219"
111,"rshiny","17","166436"
238,"notion","11","165636"
58,"neo4j","32","163971"
119,"dplyr","16","163111"
121,"hugging face","18","160868"
64,"dynamodb","12","160581"
96,"airflow","144","155878"
118,"theano","25","153133"
248,"zoom","18","151677"
77,"bigquery","135","149292"
219,"atlassian","23","148715"
141,"express","89","148333"
185,"looker","186","147538"
8,"go","316","147466"
101,"pytorch","564","145989"
3,"scala","381","145056"
109,"mxnet","20","144874"
92,"spark","946","144399"
27,"golang","14","144090"
99,"tensorflow","641","143440"
191,"microstrategy","31","143343"
105,"gdpr","21","142981"
80,"snowflake","313","142691"
